epoch,train_loss,wt_dice,tc_dice,et_dice,mean_dice,learning_rate
1,1.8472982519865035,0.019717370998114346,0.0019534857259714045,0.014378304703132016,0.012016387142405925,8.171711642085606e-05
2,1.4551464295387269,0.01994723118841648,0.002166626418056694,0.020962928140579606,0.014358928582350928,0.00019961714150646065
3,1.3053955861926079,0.021172971290070564,0.0027817574822620373,0.03069070477504283,0.01821514451579181,0.0003732065374546556
4,1.1908473592996598,0.027670412708539517,0.004884159449829895,0.04797341484809294,0.026842662335487454,0.0005723117665979533
5,1.1015942925214768,0.044703912897966804,0.011958264090208105,0.07022314514033497,0.042295107376169955,0.0007623240955023033
6,0.9736278253793716,0.07516932915896177,0.03291912557906471,0.09468086675042287,0.06758977382948313,0.0009102153306414524
7,0.8955733659863472,0.10440588272176683,0.062484471267089246,0.12248844443820417,0.09645959947568673,0.0009902788225407166
8,0.8072272190451621,0.12992861242964865,0.08940690255258232,0.14796920418739318,0.12243490638987468,0.0009998535747547733
9,0.7601313224434852,0.150328747369349,0.11430574413388968,0.178465913888067,0.14770013513043523,0.000998749347910976
10,0.6915748441219329,0.16529778223484753,0.1394844064489007,0.20575442370027303,0.17017887079467378,0.0009965649453711912
11,0.6487822636961937,0.17779919039458036,0.16535302735865115,0.23492155969142914,0.19269125914822022,0.0009933050980649035
12,0.640146019011736,0.19048653207719327,0.1939685863442719,0.2634711466729641,0.21597542169814316,0.0009889768660954856
13,0.587863533347845,0.20417462596669794,0.22842123117297888,0.2918958656489849,0.24149724092955388,0.0009835896234495851
14,0.6003202071040868,0.21858076145872474,0.26911446917802095,0.3194650109857321,0.26905341387415926,0.000977155037695158
15,0.5761501538008451,0.23359535867348313,0.31281112488359214,0.3476530406624079,0.2980198414064944,0.0009696870447121129
16,0.556850360929966,0.2509038124233484,0.36106127351522443,0.37808093018829825,0.330015338708957,0.0009612018185103016
17,0.531191843599081,0.2676328456029296,0.4061299547553062,0.4033020965754986,0.3590216323112448,0.0009517177362002115
18,0.5205406998842954,0.2942317327484488,0.4564806405454874,0.44245781637728215,0.39772339655707273,0.000941255338192239
19,0.503924532160163,0.3205222463235259,0.5017465896904468,0.47979589067399503,0.4340215755626559,0.0009298372837107332
20,0.5116980309039354,0.35211998149752616,0.5418448977172374,0.5177675671875477,0.4705774821341039,0.0009174883017191626
21,0.5206086999177932,0.3889762621372938,0.5756041280925274,0.5506182879209518,0.5050662260502576,0.0009042351373626859
22,0.4821157275885344,0.42601716220378877,0.6106879279017449,0.586629606038332,0.5411115653812885,0.0008901064940441237
23,0.4795518001914024,0.46140417344868184,0.6402450032532215,0.6198224626481533,0.5738238797833523,0.0008751329712587798
24,0.47895027428865433,0.4968060053884983,0.6668145909905434,0.6515981137752533,0.6050729033847648,0.0008593469983227467
25,0.45235678628087045,0.5319431815296412,0.6887802720069885,0.6792534202337265,0.6333256245901187,0.0008427827641382307
26,0.4648516694456339,0.5658200971782208,0.7092642724514008,0.7073585033416748,0.6608142909904322,0.0008254761431480001
27,0.4567076963186264,0.5920001514256,0.7295334875583649,0.7317644312977791,0.6844326900939147,0.0008074646176393326
28,0.4627336023375392,0.6185164503753185,0.7436081036925316,0.7506849125027657,0.7042698221902054,0.0007887871965657268
29,0.4740281915664673,0.6386956788599492,0.7537876397371293,0.7652936443686486,0.7192589876552423,0.0007694843310621951
30,0.44510802246630193,0.6580125942826272,0.7665225580334664,0.7808872759342194,0.7351408094167711,0.0007495978268371128
31,0.4617936646193266,0.6713183052837849,0.7813381090760231,0.7895648837089538,0.7474070993562539,0.0007291707536303635
32,0.44782319348305466,0.6845573090016842,0.792060399055481,0.7994074821472168,0.7586750634014605,0.0007082473519338728
33,0.4530256717279553,0.6944649815559387,0.8061888754367829,0.807098639011383,0.7692508320013683,0.0006868729371765537
34,0.45502906385809183,0.7016033187508584,0.8174654901027679,0.8125758469104767,0.7772148852547011,0.0006650938015811789
35,0.4173587623238564,0.7099306464195252,0.828270360827446,0.8182648003101349,0.7854886025190353,0.0006429571139057347
36,0.4183853029459715,0.7189409390091897,0.8403613418340683,0.82501822412014,0.7947735016544659,0.0006205108172863934
37,0.41515926633030176,0.7267896503210067,0.8560086965560914,0.8303571373224259,0.8043851613998413,0.0005978035254033576
