epoch,train_loss,val_dice,learning_rate
1,1.087397693991661,0.37710881808772684,0.0001
2,0.8236304226517678,0.39809014737606047,0.0001
3,0.7404036244750023,0.4444260703586042,0.0001
4,0.7017837618291378,0.46298159047961235,0.0001
5,0.6645669284462928,0.5453053387999535,0.0001
6,0.6323166362941265,0.42598323032259944,0.0001
7,0.6415440194308758,0.5184083307161927,0.0001
8,0.6031822091341019,0.44839375698938966,0.0001
9,0.6080868463218212,0.600401377081871,0.0001
10,0.589841408804059,0.46341328520327807,0.0001
11,0.544758808016777,0.5526009954884649,0.0001
12,0.5541755385696888,0.5569879886880517,0.0001
13,0.5404387295246125,0.6590060038398952,0.0001
14,0.506303970515728,0.6070274841785431,0.0001
15,0.5146968560665846,0.5939093885198236,0.0001
16,0.504927639439702,0.6189960172399879,0.0001
17,0.5074070609360933,0.6280652111396193,0.0001
18,0.5120956749096512,0.6179674787074327,0.0001
19,0.48920222830027343,0.6193148341029883,5e-05
20,0.4719760015234351,0.5929218408092857,5e-05
21,0.46190030820667743,0.6665626448392868,5e-05
22,0.46660224080085755,0.6658925801422447,5e-05
23,0.4881718137860298,0.6240858181566,5e-05
24,0.45299038007855413,0.6399630502983927,5e-05
25,0.47706502214074137,0.648743546679616,5e-05
26,0.4266902955621481,0.690531438915059,5e-05
27,0.4542045347765088,0.6850567466765642,5e-05
28,0.4493191328644752,0.6709180667158217,5e-05
29,0.4638209590315819,0.6819679654762149,5e-05
30,0.46243876427412034,0.6771289997920394,5e-05
31,0.45695058356970547,0.6435521394759417,5e-05
32,0.4683479708060622,0.6732917423918843,2.5e-05
33,0.42517953500151634,0.7256445009540766,2.5e-05
34,0.4484509401395917,0.7376089150737971,2.5e-05
35,0.41735605800524356,0.7465419046208263,2.5e-05
36,0.42975166261196135,0.6999745857901871,2.5e-05
37,0.4279580494388938,0.7278090758156032,2.5e-05
38,0.42173601873219013,0.6298391778022051,2.5e-05
39,0.4236906151846051,0.723090887516737,2.5e-05
40,0.409567435476929,0.7168374603800476,2.5e-05
41,0.39637455489486456,0.6981861199438572,1.25e-05
42,0.3989567559957504,0.7221770786494016,1.25e-05
43,0.38434749191626905,0.7417763383174315,1.25e-05
44,0.3795796062611043,0.7223656616173685,1.25e-05
45,0.3802211155742407,0.7059848979860545,1.25e-05
46,0.37597039790824055,0.7168363787047565,1.25e-05
47,0.34982099644839765,0.7296020602434874,6.25e-06
48,0.34547161545604466,0.7201106184348464,6.25e-06
49,0.3489272737503052,0.7188409315608442,6.25e-06
50,0.3428955171070993,0.7283824168751016,6.25e-06
51,0.3248599207960069,0.7374920641118661,6.25e-06
52,0.3303971049934626,0.7462950007151812,6.25e-06
53,0.3383666599169374,0.7021435576677323,3.125e-06
54,0.3263785772770643,0.7293370009027421,3.125e-06
55,0.31964812595397235,0.7120679571852088,3.125e-06
56,0.31783253241330384,0.7280007442459464,3.125e-06
57,0.32026904374361037,0.7268726594839245,3.125e-06
58,0.32479657381772997,0.7332644687313586,3.125e-06
59,0.302588804513216,0.7265492875408381,1.5625e-06
60,0.31106460582464934,0.7475352730881423,1.5625e-06
61,0.30635248610749843,0.7288621388236061,1.5625e-06
62,0.3195709037780762,0.7326674918923527,1.5625e-06
63,0.31214270647615194,0.734084525546059,1.5625e-06
64,0.3301747364550829,0.717520953156054,1.5625e-06
65,0.3330393111333251,0.7304024467151612,1.5625e-06
66,0.30902273844927547,0.7227012947294861,7.8125e-07
67,0.3229628398828208,0.7265289368107914,7.8125e-07
68,0.3309404706209898,0.7297915613697842,7.8125e-07
69,0.3246362836100161,0.7329887506598607,7.8125e-07
70,0.32126799657940863,0.7395766713283956,7.8125e-07
71,0.3231467791646719,0.7284468078799545,7.8125e-07
72,0.3104308267310262,0.7191748291254043,3.90625e-07
73,0.31813638424500823,0.7334609541110695,3.90625e-07
74,0.30788368662819265,0.7287047285120934,3.90625e-07
75,0.30890597714111206,0.7437617808859796,3.90625e-07
