case_id,wt_dice,tc_dice,et_dice,mean_dice
BraTS-GLI-00241-000,0.8822689056396484,0.8931134939193726,0.9108977317810059,0.8954267104466757
BraTS-GLI-00242-000,0.7015705108642578,0.9799191355705261,0.947451651096344,0.8763137658437093
BraTS-GLI-00243-000,0.9147281646728516,0.5872364044189453,0.6181496977806091,0.7067047556241354
BraTS-GLI-00246-000,0.9011802077293396,0.9469578862190247,0.9301408529281616,0.9260929822921753
BraTS-GLI-00247-000,0.8861939311027527,0.8385066390037537,0.8511230945587158,0.8586078882217407
BraTS-GLI-00249-000,0.9193471074104309,0.9664873480796814,0.9382621049880981,0.9413655201594034
BraTS-GLI-00250-000,0.9136232733726501,0.9263147711753845,0.9377492070198059,0.9258957505226135
BraTS-GLI-00251-000,0.739898681640625,0.9399983286857605,0.8673686981201172,0.8490885694821676
BraTS-GLI-00253-000,0.7918995022773743,0.8841683864593506,0.8990991115570068,0.8583890000979105
BraTS-GLI-00254-000,0.9181410074234009,0.9649580717086792,0.9562796950340271,0.9464595913887024
BraTS-GLI-00258-000,0.5214043855667114,0.605198860168457,0.6408646106719971,0.5891559521357218
BraTS-GLI-00259-000,0.9411700367927551,0.9675201773643494,0.9482601881027222,0.9523168007532755
BraTS-GLI-00260-000,0.7890844345092773,0.8883887529373169,0.8489933013916016,0.8421554962793986
BraTS-GLI-00261-000,0.9321205019950867,0.9717437624931335,0.9520745277404785,0.9519795974095663
BraTS-GLI-00262-000,0.7424069046974182,0.877693772315979,0.8619341850280762,0.8273449540138245
BraTS-GLI-00263-000,0.9368559718132019,0.9531737565994263,0.9242010712623596,0.938076933224996
BraTS-GLI-00266-000,0.9292784929275513,0.9610083103179932,0.9077554941177368,0.9326807657877604
BraTS-GLI-00267-000,0.8881279826164246,0.9663552045822144,0.9492456316947937,0.9345762729644775
BraTS-GLI-00269-000,0.8798714280128479,0.9297623038291931,0.905445396900177,0.905026376247406
BraTS-GLI-00270-000,0.6717528700828552,0.8189765810966492,0.8877636194229126,0.792831023534139
