epoch,train_loss,wt_dice,tc_dice,et_dice,mean_dice,learning_rate
1,1.7943189841508866,0.01593694541370496,0.0005105464168551066,6.857637367829739e-06,0.005484783155975966,8.171711642085606e-05
2,1.4816625291109085,0.016217328957282007,0.0005505182262581342,6.314953202490869e-06,0.00559138737891421,0.00019961714150646065
3,1.3480871057510375,0.017690025095362216,0.0007260061705416376,6.486479924205923e-06,0.006140839248609354,0.0003732065374546556
4,1.2079866388440132,0.02309605209156871,0.0015692123038675732,9.661641479397077e-06,0.00822497534563856,0.0005723117665979533
5,1.067167420089245,0.03321454032557085,0.003930043651151039,1.5687698441979593e-05,0.012386757225054622,0.0007623240955023033
6,0.9593393144011497,0.0547380882082507,0.011066606267868906,2.8128535450377968e-05,0.021944274337189994,0.0009102153306414524
7,0.9098065090179444,0.08811598205938935,0.02845143262163674,5.486503705469659e-05,0.038874093239360266,0.0009902788225407166
8,0.8232595714926719,0.11655071629211307,0.04802671904606086,0.00011585940264922102,0.054897764913607726,0.0009998535747547733
9,0.7803026396036148,0.13900767397135497,0.06761081798158557,0.00025895868166117,0.0689591502115339,0.000998749347910976
10,0.7245090030133724,0.16050004437565804,0.09063968485120313,0.0005209893191931769,0.08388690618201812,0.0009965649453711912
11,0.7348431198298931,0.18070995612069965,0.11773441484092473,0.0009610226872609929,0.0998017978829618,0.0009933050980649035
12,0.7102403549849987,0.19580507865175606,0.1405011178893801,0.001806626608595252,0.11270427438324379,0.0009889768660954856
13,0.6854062892496586,0.2107128224335611,0.15958476300756957,0.0041712359990924595,0.12482294048007436,0.0009835896234495851
14,0.6610526542365551,0.22950792592018843,0.17604449982736697,0.010171726811677217,0.1385747175197442,0.000977155037695158
15,0.6423315164446831,0.24681395702064038,0.18508199307325413,0.03456164761446416,0.15548586590278626,0.0009696870447121129
16,0.6278869636356831,0.2677993757650256,0.1986172461340175,0.12554356064647437,0.19732006084850584,0.0009612018185103016
17,0.6374812014400959,0.2857698030769825,0.21098734698589397,0.37029808163642886,0.2890184105664352,0.0009517177362002115
18,0.6277825407683849,0.30746872574090955,0.2285507152972059,0.7322222236543894,0.4227472215641684,0.000941255338192239
19,0.600131887793541,0.3269757371395826,0.24386913128428206,0.975,0.5152816228079549,0.0009298372837107332
20,0.6039310410618782,0.34936506636440756,0.2607409726452715,1.0,0.5367020130032264,0.0009174883017191626
21,0.5955570505559444,0.37092096675187347,0.27489099323011035,1.0,0.5486039866606611,0.0009042351373626859
22,0.5949487373232841,0.39099277146160605,0.2929298029983329,1.0,0.5613075248199797,0.0008901064940441237
23,0.5887044230103493,0.4105015121400356,0.3090866371121592,1.0,0.5731960497507316,0.0008751329712587798
24,0.5853189454972744,0.4330262433737516,0.31931131779892896,1.0,0.5841125203908936,0.0008593469983227467
25,0.5761750251054764,0.4571069426834583,0.34016704167042916,1.0,0.5990913281179624,0.0008427827641382307
